cleaned_tweets,sentiment
የዳያስጶራው የፖለቲካ እንቅስቃሴ ፀጥ ማለቱ የገረማቸው አንድ አባት እንዲህ አሉኝ አዬ ልጄ ካባውን እኮ እናለብሳቸው ሁሉም ካባ እየለመሰ ዝም ዘመነ ካባ በሉ መልካም እንእንቅልፍ,mixed
የዶክተር አቢይ መንግስት ለብሄራዊ መግባባትና ብሄራዊ እርቅ ቅድሚያ ትኩረት ሊሰጥ ይገባል ሀገር አብረን መቀጠልና ምን እንደምንፈለግ ሳንግባባ ወደ ምርጫ መግባት ለሀገርና ህዝብ አደገኛ,neutral
ethiopianviews መጀመሪያ የእግዛቤሄርን ፍርድን ጠብቁ,neutral
hailegebr ሀይልሻ ይቺን ብቻ ስፖንሰር አድርገኝ,neutral
የሚገድል መርዝ በሚያመነጩ አንደበቶች ፓስተር ጌትነት ተፈሪ victory family church,negative
እቺን ትልቅ ሀገር ለመምራት የተሰበሰቡት እነዚህ እራሳቸውን መምራት ማይችሉ ግማሾቹ አዛውንት ማቆያ ግማሾቹ ፍርድ ቤት ቀርበው ላስጠፉት ነብስ መቀጣት ሲኖርባቸው ሀገር እንመራለን ብለው አይናቸውን በአሲድ አጥበው ለምርጫ እየተዘጋጅ ያሉ ናቸው,negative
እስራኤል የኒውክሌር ጦር መሳሪያ ባለቤት መሆኗን ቤንያሚን ኔታንያሁ በድንገት ገለፁ ከዚህ ቀደም ሀገሪቱ ከባድ የሚሳየል መሳሪያ እንዳላት ቢታወቅም ኒውክሌር እንዳላት ግን ይፋ ተደርጎ አያውቅም,neutral
rt takeleuma ሲለፋ ብሄራዊ ቴአትር አካባቢ አግኝተን ሸክሙ እንዲቀል ተበላሽተው ከቆሙ መኪኖች አንዱን ሰጥተን አበረታተነው ዛሬ በአዲስ ተስፋ ስራውን መጀመሩን ከችግሩ መሻገሩን በማየቴ ደስ ብሎኛል…,positive
,negative
በብሄርብሄረሰባዊት ኢትዮጵያ የቀበሌ የወረዳ ዞን ጥያቄዎች የክልል ድንበር ትግል ኖርማል ስለ ታላቋ ኢትዮጵያ ታሪካዊ ህጋዊ መሰረት ያለው የባህር በር መብት ማሰብ መናገር እብደት የወያኔ ትውልድ መሆኔ ያሳፍረኛል 🤦‍♂️ ቲሽ,neutral
wurye tweetofmicky ግንቦት ሊሆን ቀን ሲቀረው ያኔ ትግል የጀመርኩትኮ,positive
antesho heyab riverblueal ወኔ ያለው የሌለው,neutral
tesfamaryam ይችህ ናት ኢትዮጵያ ይችህ ናት ሀገሬ መተጋገዝ እንጂ አያስፈልግ ወሬ,positive
ሳያልፍልን ደሞ ኛው የአለም ጦርነት ሊጀመር,negative
shewayetagel እውነት አባቴ እንዲህ ተረዳድተን ተደጋግፈን በደስታውም በሀዘኑም አብረን የኖርነው እንዳሁኑ የተማሩ ማሀይሞች የዘር የክልል ፖለቲካ አምጥተው መርዝ ከመርጨታቸው በፊት ❤,negative
ክቡር ጠሚ ዶር አብይ አህመድ ከሚቃወሙት ይልቅ የሚደግፉት ይበልጣሉ ያም ይለፍልፍ አብይ መሪያችን ሰላምና ድሞክራሲ ገና ያብባል ለማም ቢሆን በስተመጨረሻ ለኢትያ ህዝብ አድስ ነገር መናገሩ ቢያሳዝንም ለሱ ግን ድክመቱን ያሳያል,neutral
tsedalec አሜን አሜን አሜን እንኳ አብሮ አደረስን,positive
ዛሬ ከተሰማው ነገር ሁሉ የታገቱት ተማሪዎችን መንግስት ማስፈታቱ ትልቅ ደስታ እንዲህ ያለው ወንጀል ፈፅሞ እንዳይደገም መንግስት ወንጀለኞቹን ለፍርድ ያቅርባቸው,positive
ይህ እጅግ አሳዛኝ ዝም ብሎ አደጋ አይደለምእዚህ ሁሉ ምስቅልቅ እንዴት ገባን በልጆች የትምህርት እድል ላይ የሚፈርድ የጥፋት ፖለቲካ መወገዝ አለበት የወላጅ ሀዘን ይሰማን,negative
የሁለት ፎቶዎች ወግ,neutral
eliasabt ሀሳብ ካለህ በሀሳብህ ሞግት ካላቻልክ ደግሞ ጨዋነትህን ብታሳየን ይመረጣል ስድብ የሰነፍ ሰው ትልቁ ንብረቱ ራስህን ከቻልክ አርም,positive
,neutral
drtedros ክቡር ዲሬክተር እንኳን ለብርሀነ ልደቱ ከመላ ቤተሰብዎ ጋር በሰላም አደረሰዎት,positive
ቀጣዩን ሳምንት ፕሮግራሞን ያቅዱ የአንድ ወር የስልክ ስክሪን ሴቨር ትሁናቹ,neutral
awushwish zemenuya በጣም ቀላል ለምሳሌ ያህል የለማን ቅራኔ አራጋቢዋች አብይ አለቀለት የሚሉትን ጋዜጣዋች መመልከት ይበቃል ቆየ እኮ የማን ቡድን ደጋፊ መሆኑን ካሳየን የጋዜጠኝነት ሙያ አሰዳቢዋች ብለን ውድድር እስከነሽልማቱ ብናዘጋጅላቸውስ,neutral
,neutral
berhanutsegaye ቆሻሻ ሰው ሲያልቅ የት አባህ ነበርክ እሁን በብርሀን ፍጥነት ታወግዛለህ ቆሻሻ,negative
ክብሬ በእግዚአብሄር መዝ,neutral
kasayerh sheethiopia ደግሞኮ በዚህ ቀን ካልገባችሁ ትባረራላችሁ ፒሪረም ፓራራም እያሉ ምስኪኑ ላይ የሚቀልዱት ነገር ደሜን የሚያፈላው አንድ ባለስልጣን ልጅ በነዚህ high risk ዩኒቨርሲቲዎች ውስጥ በአሁን ሰአት በትምህርት ገበታ ላይ ካለች እቀጣለሁ,neutral
abbasheger ታሜ ግን በደህናህ አሁን አሁን ከአባይ ግድብ ይልቅ አማኑኤል ሆስፒታልን በብዛት መገንባት እንደሚያስፈልግ እየተሰማኝ,neutral
rt getachewasefa eskindernega እሰክንድር ነጋ በኢትዮጵያ የርስ በርስ ግጭት አንዲቀጣጠልኀ ነዳጁን እያዘጋጀ ያለ ፋኖ,negative
shegerfm ተብድረው መክፈል ባይችሉ ባንኩ ከተማውን ሊወርሰው,neutral
rt cdessalegn የፌስቡክ ገፄን የጠለፉት ወሮበሎች ከ ወራት በኋላ ዛሬ የእንኳን አደረሳችሁ መልእክት አስተላልፈውበታል የአማራ አይቲ ባለሙያዎች ይህን አካውንት እንዳገኘው እንዲዘጋ በማድረግ እገዛችሁን…,negative
awushwish ድንጋይ ራስ ነህ ምንም የማይጠቅም ድንጋይ that’s all ከቻልክ ከድንጋይነት ወደ ሰውነት ለመቀየር ሞክር,negative
hymelee ethioliberty haileyabekele ምን እንደጠየከኝ ባላውቅም ብዙ አይቻለሁ,neutral
abiyahmedali ማመስገን ትልቅነት አክባሪ ክብሩ የበዛ ይሆናል,positive
getachewss ምን ተስኖት ጌታቸው is capable of anything አስለቃሽነት ላይ እንኳን invest ብታረግ ካለጥርጥር ይሳካልሀል የመጀመሪያውን ነጠላውን በኔ ተወው,neutral
ለዚህ ለካ የማልወፍረው ሶሲ የት ነሽ በይ እንግዲህ ምግቡን ተክዢበት ያልሽኝ,neutral
,neutral
rt dwamharic አቢይ ስምምነቱ ከተፈረመ በኋላ አቢይ «ብዙዎች ብልፅግናን የሚቃወሙት የሚጠሉት በግልፅ ቋንቋ ሌብነት ጥዩፍ የማይሰራ የማይተጋ ሰነፍ ከእኛ ጋር መቀጠል አይችልም» የሚል አቋም በመያዙ…,positive
gualhagos dawitawramba ስጋሽን ነክሰሽ ፅድቅ ለማግኘት አጉል መላላጥ የትግራይ ደም ኑሮት አሽቋላጭ አሽርጋጅና እምበርክካም ሲሆን አያርበትም ከመምበርከክ ይሰውረን,positive
ethiopialiveupd ጎረቤቴ ጋሽ በድሩ ትክክል ነበሩ ቆጣሪው እንደሚሸቅብ ይነግሩን,neutral
የዘመኑ ኢትዮጵያዊነት ፌደራላዊነት አቀንቃኞች ድሮ መለስ ዜናዊ ትምክህተኛ ና ጥገኛ ካላቸው የሚለዩት በምንድን,negative
tesfamaryam ደንበጫ አብማ ማሪያም ልዩ ፍቅር አለብኝ ❤,positive
የዚህ አስተሳሰብ ተከታይ የሆኑ ታሪክ ፀሀፊወችም ታሪክ የሚፅፉት ማን ማንን ገደለ የሚለውን የጦርነት ማስረጃ በመፈለግ ብቻ ለምሳሌ የዛጉዬን ዘመንን የጨለማው ዘመን የሚሉት በቂ የጦርነት ማስረጃ የማይገኝበት ዘመን ስለሆነባቸው እንጅ,neutral
የዩንቨርስቲ ተማሪዎች ትምህርት ማቋረጥና ሞት ያሳስበናል ከሁሉ በላይ ደግሞ የሚዲያም የመንግስትም ነገሩን በዝምታ ማለፍ ያስተዛዝባል ያሳዝናል,negative
ፍሬ ቺኳን,positive
abiyahmedali እግዚአብሄር ትልቅ ነገር አደረገ አሜን,neutral
በስውር አሰሩንና ዘረፉን ብለው ያዘን ልቀቁን ሲሉ ቆይተው አሁን ሁሉም ባደባባይ ሲሆን ህሊናቸው ምን ይል ይሆን,neutral
dawitesfaye እብደት በድንገት ከእድገት በህብረት,neutral
befeqe you mean እነ ከበቡሽ እነ አሸብር ጋሻ ጃግሬዎቻቸው already ቀጣካቸው,neutral
birrkanf የሆነ የማላውቀው ቦታ ይወስደኛል ይሄንን ዘፈን ስሰማ,neutral
በየ ሺ አሜን ካልን በሚሊዮን እድል አለን,positive
,neutral
የደረጃ ሰንጠረዥ ከዛሬው ጨዋታ በኋላ,neutral
kefiradechatu እብሪት ገደብ እንደሌለው ማሳያ ናቸው,neutral
antesho ከወተት የሚል ምርጫ ለምን የለም,neutral
takeleuma ጎዳና ማለፊያ እንጂ መኖሪያ አይደለምና አሜን,neutral
dawitso cdessalegn altayeethiopia ወረኛ እዛው ወንድሞቼ ገለመሌ አትበል ድብን ያልክ ኦነግ ነህ አጎል ተቆርቋሪ አትምሰል አስመሳይ አጭበርባሪ,negative
ኢትዮ የኮሮና ቫይረስን ወደኢትዮጵያ እንዲገቡ ያደረገው የጀዋርና የቄሮን ሚስጥር የያዘ ቪዲዮ በእጃችን ገብቷል ለሀገር ደህንነትና ሰላም ስንል ይፋ ላለማድረግ ወስንናል,negative
embibelu እውነት የምትተማመነው መሪ ሲኖርህ በላይ እምቢ የማለትአቅም ትገነባለህ,positive
fact ዛሬም በዚህ ዘመን ከ ሚሊዮን በላይ የሀገራችን ህዝብ ንሮው ይሄው ተረስተዋል ተወካይ የላቸውም ሰልፍ አይወጡም መንግስት ላይ ጫና አያደርጉምመንግስት ሊህቃንም ሚያስቧቸው ምናልባት ጦርነት ከመጣ ለውጊያ ብቻ,neutral
abdi nardosabebe ethiopiamoment የሚቶለቱለ አንዳች ይቶልትልብህ መርዝ ሰው በላ አውሬ አስመሳይ ጥፋ ከዚህ ወረኛ,negative
ይህ ስፍራ ለህዝብ የተከለከለዉ የጊዪን ፖርክ አካል ነዉ ጥብቅና የሚያምር ስፍራ ነዉ የሰራተኛ ካፍቴርያዉ ወዳጆቼ ስለያዙት በተለያ አጋጣሚ እጎበኘዋለዉ አሁን ቲዲ እስቲዲዬ ሲኒማ ቤት እየሰራበት ነዉ takeleuma በቀላል ቋንቋ ይህ ግን ልክ ነዉ,positive
እንኳን ለብርሀነ ልደቱ አደረሳችሁ ዉድ የዶቼ ቬለ ተከታታዮች በአል እንዴት ነዉ ለሀገራችን ኢትዮጵያ ሰላም ፍቅር መተሳሰብን ያብዛልን ዉድ ወዳጆቻችን በገና በአል ምኞታችሁን ግለፁልን አስተያየቶቻችሁን በልዩ ዝጅታችን ይዘን እንቀርባለን,positive
የታገቱት መለቀቅ ብቻ ዋጋ የለውም አጋቹቹስ አሁንም ከስጋት ጋር ነን‼,positive
,negative
zemenuya እስኬው ጎረቤቶቹን ጎሸም ለማድረግ ጊዜም ቦታም ሪሶርስም አይመርጥም,neutral
,neutral
abbaacabsa አንተም ሰው ሰው ሸተትክ እከካም ዘረኛ,negative
asemahagnaseres የአማራን ህዝብ ህልውና በማስጠበቅ የኢኮኖሚ ተጠቃሚነቱንየፖለቲካ ውክልናውንማህበራዊ ተቋማቱን በማጠናከርና ለጥያቄዎቹ መልስ በመስጠት አገልግሉት እንጂ አንገቱን እየቆረጠ ከሚያፈናቅለው ጋር አታውደልድሉ,positive
አንዳንዱ አቃቂር ሲያጣ እሺ ቤቲ ወንድ አደለ ለምን አህመዲን ጀበል አልጨበጠውም ይልሀል,neutral
,negative
,negative
ሶቅራጥስ ሁሉ ፍልስፍና ትቶ ያገባበን ጀመር ሀሀ,neutral
agegnehuasegid trump ስለ ግድቡ አንድም ነገር አላለምስለ ግድቡ መሆን አለበት እያወራ ያለው ሚሉት ሌሎች ናቸው,negative
mekdig አየር ላይ ተንሳፈዋል እኮ በትምህርት ቤቶች ውስጥ የተሰገሰጉትን የማይመረቁ ቦዘኔ ቄሮዎችን የኦነግየህዋሀት አቀንቃኞችን የሀይማኖት አክራሪዎችን ለምንድነው መንጥረው ማያባሯቸው,negative
,positive
አንዳንድ የኦሮሞ ሙሁራን እንዴት አላማቸዉን በቆንጆ ሴት በገንዘብ በመጠጥ ሊዘነጉ ቻሉ,neutral
የኢመድ ከ ሚሊዮን ብር በላይ ካሳ ከፈለ የኢትዮጵያ መድን ድርጅት ከቅርብ ጊዜ ወዲህ ከከፈለው የካሳ ክፍያ በከፍተኛነቱ ሊጠቀስ የሚችለውን የ ሚሊዮን ብር የጉዳት ካሳ ለኢትዮ ጂቡቲ የምድር ባቡር ከፈለ ምንጭሪፖርተር,neutral
rt takeleuma ራይድ አልተከለከለም የታክሲ አገልግሎት እንዲሰጡ የተደረገው ኮድ ኮድ ብቻ ኮድ አልተፈቀደም አገልግሎትቱን መስጠት ከፈለጉ ግን ኮድ ኮድ ማድረግና መስራት…,neutral
abiyahmedali ባንድ ወቅት ቦረና ከሚያዋስነው ገሪ ጎሳ ጋር በግጦሽና ውሀ ቦታ ኤላ ይጋጩና ቦርና አሽንፎ የገሪን ቦታ ይይዛል እናም ለእርቅ ተቀመጡ አስታራቂዎቹም ለቦረናዎቹ በሉ አሸንፋችኋል የያዛችሁት መሬት የገሪ ሰለሆነ ልቀቁ,neutral
eliasmeseret ምንም ነገር “እጅግ” እንዲህ ሆኗል“እጅግ” ብዙ ነውወዘተ የሚባለው በምን መለኪያ ነውከጋዜጠኞች ሲሆንስ“እጅግ በርክቷል”በምን መነሻ በሪፖርቶች ቁጥርየተዘረፉ ሰዎች ተጠይቀውግነት ግላዊ ቢሆንም ከዜና ሰው ሲሆን ግን ማስረጃ ሊኖረው አይገባም,neutral
abiyahmedali ለዛ ነዉ ሴት ተማሪዎች አሳግተህ ባልሰማ ዝም ያልከዉ ለነገሩ ደቡብ አፍሪካ ስለነበርክ አይሰማ ይሆናል,negative
ruhamambelay ጤና የሌለ ሀብት አይደል,neutral
የሰው የሚለየው ከዚህ ወረፋውን ፈረቃውን ያውቃል,neutral
,neutral
mikeantso yehagersew flyethiopian አየር መንገዱ በአሉን አስመልክቶ ተጨማሪ በረራዎችን ቢያበጅ መልካም ለ ቢዝነስም ጥሩ ግን ከ አክሱም ሌሎች ጉዳዮች መገናኘቱ እምብዛም ሴንስ አይሰጥም መልካም በአል ✌,positive
danaat በጣም የሚያሳስቡንን ነገሮች አውቀውልናል,neutral
natnaelteklu belayhunyirga kasayerh atnafb woldeyest በህግ ዙሪያ ላይ ያላቹ ሰዎች እባካቹ በህጉ ዙሪያም ባትሆኑ ምታቁ ካላቹ,neutral
ጠቅላይሚኒስትሩ አገር የመምራት አቅም የላቸውም አቶ ልደቱ አያሌውክፍል ethio forum via youtube,negative
,negative
rt melakabera ጷጉሜን ቀን ሙሉ ያለክፍያ ማሰራት ምንም የማይገባ ና መቅረት ያለበት ነገር ስልካችን ካርድ ሳይሞላበት አይቀርም ትራንስፖርት በነፃ አያገለግሉንም መብራት መስከረም ላይ ማካካሳቸው…,neutral
hewiinat ለምን ይባርኩታል ጥያቄው ለምሳሌ የኢዜማን የሚባርክ ቄስ የባልደራስን ከሚባርከው ጋር ተቃራኒ የሚቆሙት,mixed
ታህሳስ ከሚቀጥለው አመት ጀምሮ አዲስ ስርአተ ትምህርት ስራ ላይ እንደሚውል እየተጠበቀ,neutral
btw ከአራት አመታት በፊት የድል አጥቢያ አርበኞች በዚያኛው ማሊያ ሲጫወቱ መስሪያ ቤተ መታወቂያ እንሰጥህ ዘንድ ብሄሬን ጠየቁኝወሎዬ ነኝ አልኳማራ ነህ ማለት አሉኝ እኔተውት ይቅርብኝ,neutral
abiyahmedali ለማ ከዳ አልከዳ ከዶር አብይ ጋር ብልፅግና ፖርቲ በመያዝ ኢትዮጵያ ወደ ፊት,positive
አቡበከር አህመድ ችግሩ ከመፈጠሩ በፊት ለደመቀ መኮነን ለዳንኤል ክብረት ለክልሉ ፀጥታ ዘርፍ ሀላፊ እንዲያስቆሙ ደውሎ ነግሯቸው ኡስታዝ አህመዲን ጀበል,neutral
,neutral
ethiopia በለስላሳው ዋጋ እድሜውን ቁጭ እዚሁ,neutral
እች ደሞ ዲንፕሏ ሁሉ ሂዩማን ዲንፕል,neutral
,neutral
ruhamambelay nwbet ብለምንሽ ኮራሽ እኮ እንጂ በቅርቡ ሂያጅ ነኝ,neutral
ethiomatrix takeleuma abiyahmedali ምናልባት የዜግነትህንየብሄርህን አግኝተህ ይሆናል አብዛኛው ወጣት ግን እነታከለ ኡማን ተስፋ አድርጎ ወሬያቸውን ይሰማል ግን በወሬ እያደነዘዙት የከተማውን መሬት ሌሎች ሀብቶች ለዘመዶቻቸው በስጦታ ያበረክታሉ,neutral
abrisher fidelity እዚ አገር አስተማማኝ ነገር ጠፋ እኮ,neutral
,positive
ከመነሻው የአቶ ንጉሱን መግለጫ ምንም ያላመንኩ ቢሆንም እንደዛ ባልተሰማኝና ምነው ያሉት ሁሉ እውነት በሆነ ብዬ ተመኝቻለሁ ግን ለማንኛውም bringbackourstudents releasethesudents releasethemnow ethiopia,positive
abrshel simonaaye ማ አስገደደህ ሸገር ባስ ባቡር አንበሳ ባስ እግር ባሉበት ታክሲ የምትጠቀም 🤣,neutral
ዲሻችን ስክራች እያረገ አላለኝም ደውሎ ሲዲውን ጠረግ ጠረግ አርገህ አስገባዋ,neutral
ግን ወደ ጠማማ መንገዶች ዞረው ይመለሳሉ እግዚአብሄር ከክፉ አድራጊዎች ጋር ይወዳል ሰላም በእስራኤል ላይ ይሁን መዝ,neutral
ethiopialiveupd ammaonline መልካም ዜና ክፉ አውሬ አይልመድ ከለመደም አይውለድ ይባላል እነዚህ ክፉ አውሬዎች መፋረድ ተገቢ ክልሉ ከጎበዝ አለቆች መፅዳት አለበት,negative
mehpersie wurye የተመሰከረላት ጀግና ነች እንኳን ያንቺ አይነቷን ዱቄት ስንቷን አንጰርጵራለች,negative
,positive
የደቡብ አፍሪካ ሙስሊም ጀመአ በሞጣ የተከናወነውን የመስጂድ ቃጠሎን በማውገዝ ታላቅ ፕሮግራም እያዘጋጀ ይገኛል,mixed
አሁንም ወዲህ ወዲያ ሳይባል መፍትሄ ባጭር ጊዜ የሚጠይቀው በተግባር ውጤት ሊኖረው የሚገባው ጉዳይ በዩኒቨርሲቲዎች የሰላም መስፈን,neutral
fitsumaregaa ኢቶጲያዊነት ልዩነታችን ውበታችንአንድነታችን ከራታችንመረዳዳት በሁሉ አቅጣጫ ምግባራችን ሊሆን ይገባል እላለሁ,positive
የነገ ትላልቅ ካምፓኒዎች የሚሆኑበትን መንገድ ማመቻቸት እንዲሁም የሀገር ውስጥ የውጭ ኢንቨስተሮች ትላልቅ ኢንደስትሪዎችን እንዲገነቡ የስራ እድል እንዲፈጥሩ አስፈላጊውን እገዛ ማድረግ አማራጭ የሌለው ምርጫ,positive
alemayehugeda lopesinsights flyethiopian በሚመለከት ኢትዮጵያ የሚያስፈልጋት አብዮት ሳይሆን ዝግመታዊ ለዉጥ የነጣ ካፒታሊዝምና ነፃ ገበያ ሳየሆን በእዉቀት የታገዘና በዲሞከራሲያዊ ልማታዊ መንግስት የሚመራዉ ነፃ ገበያ መሆኑን ነዉ,neutral
coldplague hamoudu abrshel ይስሀቅ ባንጃው ወይስ ሺሻ ባንጃው ስሙ ለእኔ አዲስ,negative
,positive
ሀገር ያለው ትልቁ አሽባሪ የኛና ኬኛ እኛና የሚለው ያየውን ሁሉ ነገር የኔ ብቻ የሚለው አሽባር ቡድን ጂዋራዊያኑ ናቸው ማለት,neutral
rt abbasheger ሸገር ታይምስ ሚዲያ… ሰሞነኛ ጉዳዮች “… ኦፌኮ የጃዋር ጥፋት ማስፈፀሚያ ካባ የሚሆነው ኦሮሚያ ልዩ ፖሊስ የተዘጋጀው ለምርጫው ነው… ”…,negative
gtwtwnow yaredalegesse በልዩ መልክ ኋላ የተጨመሩ አስተዳደራዊ መዋቅሮች በ ጎሳብሄር መሀል በግጦሽና መሰል ለሚነሱ ግጭቶች ለመግታት ክልሎች ለመደራጀት ስራ ላይ ከዋሉት የfederalism criterias አንፃር ከዝያም ከዚህም ስር ለማስተዳደር የማይመች የህዝቦች አስፋፈር,neutral
mekdig አስቀድመው ይሄ እንደሚያሸንፍ ነገሩንኮ አንዳንዴ እውነት ተራራ ፈንቅሎ ይወጣል,positive
ክርስቶስ ልደቱን ላከበሩ ምን ያህል በጎ ሽልማት ይሸልማቸው ይሆን,neutral
kefiradechatu hewiinat ልክ ብለሀል እኛማ ተተብትበናል,negative
ethiopialiveupd sheethiopia ለዛ ነዋ ድሮም ግጭት የነበረው,neutral
የጥላቻና ሀሰተኛ መረጃ ስርጭትን ለመከላከል በተዘጋጀው ረቂቅ ላይ ያሉ የትርጉምና የይዘት ክፍተቶች መሙላት እንደሚገባ ተገለፀ በረቂቁ ዙሪያ በዛሬው እለት በህዝብ ተወካዮች ምክር ቤት የህዝብ ውይይት እየተካሄደ ይገኛል via fbc,neutral
‹‹አእምሮን በተገደበ ነፃነት ውስጥ ማንቀሳቀስ ትርፉ ባርነት ነው››,negative
melat ኩራት ወንድምን በመግደል በማሰር በማሰቃየት ሀገር በመዝረፍ ሆነ እንዴ,negative
yohannesv nafkotaschenaki አይገርምህም ያቺ ቡዳ እንኳን የማይበላት ልጅ ቆንጆ ተብዬ ተለከፍኩ ብላ ስትቀውጠው ናፍቆት እንባ ዱብ ዱብ ስትጫወት እንዳልነበር🤦‍♂️,negative
addismaleda samruq so what መግለጫ ጥሩ ቀልድ ነዉ,negative
voaamharic dwamharic esattv እየተከታተላችሁ,positive
ethioreporter ስትዳከም የሚመጡ ነገሮች አለመገንዘብ መግገጫ አያስፈልገውም ለዚህ ድርድር መደራደር ማለት በልክህና ባቅምህ መስማማት ማለት ከሆነ ስንዳከም ሚዛኑ ወደ ግብፅ ጥቅም ያዘነብላል,negative
በኢትዮጵያ ውስጥ የታዘብኩት አመራር ሳይመራ ህዝብን መምራት እንደማይችል በየቦታ እየሆነ ያለው ህያው ማስረጃ በአድስ መልክ ራሱን ያደሰው ብልፅግና ፓርቲ ህዝብ እንድመራ ከተፈለገ ለምን አመራርን አይመራም,neutral
,neutral
yaredalegesse ይሄንን እኮ መቻል ያቃተኝ ራስ ዳሽን ራሱ እንደናንተ ራሱን መች ይቆልላል በየሱስስስ ስም🤦,negative
ሀሳባችንን መሰብሰብ የሚያስችለን ቀላል መንገድ via youtube,positive
zemenuya ዘበኛ ታዲያ እሁድ ላይሰራ ሆሆ የጉድ አገር እያደር አሉ እማማ ማሚቴ,neutral
ጡረተኛው አሜሪካዊው ባለ አራት ኮከብ ጀነራል ስታንሌይ ማክርይስታ ዛሬ ስለተገደሉት በቅርበት ስለሚያውቃቸው ኢራናዊው የጦር ጠበብት ሜጀነራል ቃሳም ሱሌማን አምና የሰጡትን ምስክርነት fp እንዲህ አስቀምጦቷል,neutral
የኔ ጀግና የኔ ክብር የኔ ቴዲ,positive
,neutral
,neutral
zemenuya antesho heyab beyene በለው የአቋም መግለጫ,neutral
nardosabebe ለማንኛውም የኢትዮጵያ በጀት ቢልዮን አይደለም,negative
atnafb abrahamabr ናማ የበግ ወጥ ላይ እየደረሰ ያለውን ጥቃት መክት,negative
በጥበቃ የሚተዳደሩ አባት በዚህ ወር የቆጠረው የመብራት ቢል ግራ ቢገባቸው መብራት ሀይል ሄደው የምጠብቀውንም ቤት መብራት አንድ ላይ ቆጠራችሁኔብኝ ብለው ቀወጡት,neutral
abiyahmedali ኢትዮጵያውያን ወገኖች ደም የሚረሳ ምንም አይነት ህሊና ያለዉ ወገን የለም ሁሉም ዜጋ ከእንቶ ፈንቶዉ መልስ እፎይታዉ በዘወትር ፀሎቱ ንፁሀኖቹን በህሊና ማሰቡ የንፁሀን ደም ይጮሀል no ቸበርቻቻ,neutral
,neutral
tweetofmicky ለኔ ግን በራሱ ላይ መቀለድ ስለሚችልና ሲቀድበትም ቀልድን እንደቀልድ መረዳት ስለሚችል ይመስለኛል,neutral
addisababashege wow ድል ለዲሞክራሲ ድል ለኢትዮጵያዊነት ❤,positive
seyoumteshome ከኮፍያ ወደ እስካርፕ እንኳን በስላም አሽጋገርን ምን ይሳነዋል ደግሞ ዝቅወደታቺአድርጎመቀነት ያሳየን ይሆናል ሁልሽም የጎጥ አቀንቃኝ ከሀገራችን ውጡልን በቃ ኢትዮጵያችንለዘላለምበስላምትኑርልን,neutral
yohannesv antesho ጫት ተራ,negative
befeqe ሁሉንም በኦሮሚያ ክልል መወዳደሩን ማን ፈቅዶላቸው አይታይህም cdf የተሸንፈው ክልሉ ላይ ሰው ሲኖር,neutral
mahfuzmuhammed hussenmuhye ባለጌ በሁሉም ዘርና ሀይማኖት አለ የሚወክለውም እራሱንና መስሎቹን ሁሴንን ግን በግድ የበታችነትይስማህ ማለት አትችልም እሱኮ እራሱ ምንም አልደረስብኝም በሙስሊምነቴ ያለው እንተ ደግሞ አውቅልህለሁ በደልህንመንጋ ሁን የምትለው,negative
,positive
የኢትዮጵያ ዜጎች ማሀበራዊ ፍትህ ፓርቲ ኢዜማ ከአዲሱ የውህድ ፓርቲ ብልፅግና ጋር ሊዋሀድ እየተባለ የሚናፈሰው መረጃ ከእውነት የራቀ,positive
birrkanf fairytale getachewss ምን ልትል አሪፍ ናት ዘና ፈታ ብላ ምታቀርበው,neutral
ግብፅና የህወሀት ኮካዎች የሚመሰሉብኝ እኔን ብቻ,neutral
ከስደተኞች ካምፕ ካናዳ የተደረገው የኢትዮጵያዊው እልህ አስጨራሽ ጉዞ,neutral
እነዚህ የምርጫ ቦርድ ሰዎች እውነት የኢትዮጵያን ነባራዊ ሁነታ ያውቃሉ🤣,positive
rt mickyethiopia የሞጣ ከተማ አስተዳደር ፖሊስ ፅህፈት ቤት ሀላፊ የፖሊስ ወንጀል መከላከል ሀላፊ የሚሊሻ ፅህፈት ቤት ሀላፊ የሚሊሻ ስምሪት ሀላፊ ሀላፊነታቸውን በአግባቡ ባለመወጣታቸው ተጠርጥረው በ…,neutral
አላህ በህዝቦች ዘንድ ያለውን ፀጋ በነፍሶቻቸው ያለውን （ኹኔታ）እስከሚለውጡ ድረስ አይለውጥም አርረእድ አፍሪካ ቲቪ africa tv የህይወት ጎዳና እዩቴልሳትv የቁርአንተፍሲር አፍሪካቲቪ africatvch africatvsd,neutral
mralemhh fitsberh ልብ ወለድ መፅሀፍ እኮ እላልኩም ትክክለኛ ማስረጃ ያልኩት,negative
wekyanosephrem fairytale አንቺ ልጅ እየተበላሸሽ ነዉ ከነማን ጋር መዋል ጀምረሽ ዋ,negative
cdessalegn የኢዜማውቱልቱላ ብርሀኑ ነጋ ኮል አብይን እንደሚያማክር የምርጫ ቦርድ ሪፎርምም እንድሚያግዝ ሲናገር ሰምተናል አማራ እስረኞችን ማስፈታት እንዴታ አቃታቹ ወይስ የእርሶውም የአዞ እምባ ነገር,negative
antyeaverse hamoudu abbasheger ፊት ለፊት ስለሚናገር እወዷለሁ ፖለቲከኛ ስለሆነ ግን አላምነውም🤷‍♂️,mixed
